original_text,simplified_text,target_level,predicted_level
"Хозяин бара подумал, что он хочет выпить пива и дал ему меню.","Хозяин бара подумал, что он хочет выпить пива.",B2,A1
"Князь встал и дрожащим, робким голосом, но в то же время с видом глубоко убеждённого человека сказал: — Я ничего не знаю, Настасья Филипповна, вы правы, ноя... я считаю, что вы мне, а не я сделаю честь. ","Я ничего не знаю, Настасья Филипповна, вы правы. Я считаю, что вы мне, а не я сделаете честь.",C2,B1
А может и нет…,А может и нет…,C1,C1
-- За деньгами придете к жене.,За деньгами придешь к жене.,A2,A2
"Мистер Краггс улыбался, опустив веки.",Мистер Краггс улыбался.,B2,C1
Но везде его только прогоняли и смеялись над его внешностью.,Но везде его только прогоняли и смеялись над его внешностью.,B2,A1
"Наконец, Лиза услышала гул экскурсантов, невнимательно слушавших руководителя, обличавшего империалистические замыслы Екатерины II в связи с любовью покойной императрицы к мебели стиля Луи Сез.","Наконец, Лиза услышала гул экскурсантов, которые невнимательно слушали руководителя, который обличал империалистические планы Екатерины II в связи с любовью покойной императрицы к мебели в стиле Луи Сез.",B2,C2
"— Странно, странно… и очень любишь?","— Странно, странно… и очень любишь?",C1,B2
"На своих плечах он выносил ответственнейшие кампании, снабжал темами для рисунков и фельетонов большинство московских сатирических журналов.","Он принимал на себя ответственность кампаний, создавал темы для рисунков и фельетонов для большинства московских сатирических журналов.",C1,B1
"Я ведь потому, что, во-первых, однофамилец и, может быть, даже родственник, а во-вторых, не знает, где главу приклонить.","Я потому, что однофамилец и, может быть, родственник, а во-вторых, не знает, где главу приклонить.",C2,B2
"Когда его массивная фигура отдалилась достаточно далеко, отец Федор быстро высунул голову за дверь и с долго сдерживаемым негодованием пискнул:","Когда его фигура отдалась достаточно далеко, отец Федор быстро высунул голову за дверь и пискнул.",A1,C2
"Вдруг телефонный звонок, голос – длинная, медленная игла в сердце:","Телефонный звонок. Голос длинный, медленный, как игла в сердце.",C1,C1
И всё это зачем? ,И всё это зачем?,C1,C2
Я хочу вас попросить…,Я хочу вас попросить…,C1,B2
"Всё это я вам изъясняю, князь, с тем, чтобы вы поняли, что я вас, так сказать, лично рекомендую, следственно, за вас как бы тем ручаюсь.","Всё это я вам объясняю, чтобы вы поняли, что я вас лично рекомендую.",A2,B1
"И в сравнении с таким великодушнейшим человеком, — потому что ведь, ей-богу, он был великодушнейший человек, не правда ли?","И в сравнении с таким великодушным человеком, — потому что ведь, ей-богу, он был великодушным, не правда ли?",B1,B2
"Вы, считается, ежели, не дай бог, помрете, что в ящик сыграли.","Вы, вероятно, погибнете.",B2,C2
"Вдруг я вижу Марину и её друга, боксёра.","Я вижу Марину и её друга, боксёра.",A1,A1
"Местечко в канцелярии я вам приищу, не тугое, но потребует аккуратности.","Местечко в канцелярии я вам приищу, не тугое, но потребует аккуратности.",A1,C1
А я вот и приехал. ,Я приехал.,B1,B1
"А все-таки – поймите это, все-таки этого Бога веками славили, как Бога любви.","А все-таки – поймите это, все-таки этого Бога веками славили.",A2,C1
"Каждый раз Красавица отвечала отказом, потому что не могла полюбить его, несмотря на его доброту.","Каждый раз она отвечала отказом, потому что не могла полюбить его, несмотря на его доброту.",C2,A2
Это не ошибка и не фантазия.,Это правда.,C2,A1
"Я мечтатель; у меня так мало действительной жизни, что я такие минуты, как эту, как теперь, считаю так редко, что не могу не повторять этих минут в мечтаньях. ","Я мечтатель. У меня мало действительной жизни, поэтому я такие минуты, как эта, как теперь, считаю редко, что не могу не повторять их в мечтаниях.",B1,B1
«Что же такое милое я вижу? ,Что такое милое?,A1,B1
"Но взглянул на свои волосатые руки – вспомнилось: «В тебе, наверно, есть капля лесной крови…","Взглянув на свои волосатые руки, он вспомнил: «В тебе, вероятно, есть капля лесной крови».",C2,B1
"– Я не умею говорить, как вы, О’Келли…","Я не умею говорить, как вы.",B1,B1
"Попрозрачнел как-то, почеловечел.","Как-то, почеловечел.",A1,C1
"Старик стал грустным, но пошёл к морю ещё раз.","Старик стал грустным, но пошёл к морю ещё раз.",A2,A2
Будто и не слышит.,Не слышит.,A2,C1
"Настасья Филипповна смотрела на него с любопытством, но уже не смеялась.","Настасья смотрела на него с любопытством, но уже не смеялась.",C1,A2
"Потом привезли кирпич, и появились настоящие строительные рабочие.","Потом привезли кирпич, и появились настоящие строители.",B2,A1
"Всего более мучило ее подозрение, что и дочери ее становятся такие же точно «чудачки», как и она, и что таких девиц, как они, в свете не бывает, да и быть не должно.","Ее подозрение, что ее дочери становятся такими же «чудачками», как она, и что таких девиц, как они, в свете не бывает, да и быть не должно.",A1,B1
"Он прошёл по дому, осматривая каждый угол, будто был уверен, что кто-то пробрался внутрь.","Он прошел по дому, осматривая каждый угол, как будто был уверен, что кто-то пробрался внутрь.",B2,B1
"А чтобы платить, нужны деньги. ","Чтобы платить, нужны деньги.",B1,C2
Здесь силы Ипполита Матвеевича учетверились.,Силы Ипполита Матвеевича были учтены.,A1,C2
"Пиноккио хотел только веселиться и бегать по улицам, не думая о последствиях своих поступков.","Пиноккио хотел только веселиться и бегать по улицам, не задумываясь о последствиях своих действий.",C2,A1
"На повороте оглянулся – среди опрокинуто несущихся, отраженных в тусклом стекле мостовой туч – увидел S. Тотчас же у меня – посторонние, не в такт размахивающие руки, и я громко рассказываю О – что завтра…","На повороте оглянулся – среди опрокинуто несущихся, отраженных в тусклом стекле мостовой туч – увидел S. Тотчас же у меня – посторонние, не в такт размахивающие руки, и я громко рассказываю О – что завтра.",B1,C1
Необыкновенное сходство поразило его… — Старуха! ,Необыкновенное сходство поразило его.,C2,B1
В мае природа окончательно просыпается.,В мае природа полностью просыпается.,C1,A2
"Но одно какое-то ее движение – заворачивая, она согнула бедра налево – и мне вдруг ясно: я знаю, я знаю это гибкое, как хлыст, тело – мои глаза, мои губы, мои руки знают его – в тот момент я был в этом совершенно уверен.","Она заворачивала, согнув бедра налево, и я понял, что это гибкое, как хлыст, тело. Мои глаза, губы и руки знали его.",B1,C1
"Домой – по зеленой, сумеречной, уже глазастой от огней улице.","Домой – по зеленой, уже глазастой от огней улице.",A1,C1
"А если ему станут возражать во имя истины, — ему стоит повторить знаменитый вопрос: «Что есть истина?» ","Если ему возражают во имя истины, он должен задать вопрос: «Что такое истина?»",C2,B1
"Мы показываем, но не пускаем внутрь.","Мы показываем, но не пускаем внутрь.",A2,C2
"Та самая Кити, в которую был влюблён Вронский, — подумала Анна, — та самая, про которую он вспоминал с любовью. ","Та самая Кити, которую Вронский любил, — подумала Анна, — та самая, про которую он вспоминал с любовью.",A2,B1
Щенок обежал всю комнату - никого нет!,Щенок обежал всю комнату.,B1,A2
"""С ней нужно действовать иначе,-- решил он,-- предложим обмен"".","Нужно действовать иначе,-- решил он,-- предложим обмен.",A2,C2
"Может быть, потому что в детстве это была моя любимая игра, я, кажется, понял эту систему, выучил окончания.","Может быть, потому что в детстве это была моя любимая игра, я, кажется, понял эту систему, выучил окончания.",C2,A2
Фотоэлектрические свойства и электролюминесценция p-i-n-диодов на основе гетероструктур с самоорганизованными нанокластерами GeSi/ Si,Фотоэлектрические свойства и электролюминесценция p-i-n-диодов на основе гетероструктур с нанокластерами GeSi/Si,C1,C1
"Они уже не кричали, они говорили: «Ах, как красиво…","Они уже не кричали, они говорили: «Ах, как красиво…",A2,A2
Я только что от нашего государя. ,Я только что от государя.,A1,B2
Она не спала всю ночь. ,Она не спала всю ночь.,C2,B1
"— Продолжаю: есть, друг мой Настенька, в моём дне один час, который я очень люблю. ","— Продолжаю: есть, друг мой Настенька, в моём дне один час, который я очень люблю.",B1,B1
Мимо мелькнула знакомая двоякоизогнутая фигура; я почтительно поклонился.,Мимо мелькнула знакомая фигура; я поклонился.,C1,B2
"А дворнику снилось, что из конюшни ушла лошадь.","Дворник видел, что лошадь ушла из конюшни.",B1,C2
"В каждом дне она находила немного волшебства, немного необычности.",В каждом дне она находила что-то волшебное и необычное.,C2,A1
«Ты всё это баловство теперешнее скоро бы и бросил.,Ты всё это баловство скоро бы и бросил.,B2,C2
"Про пожары, про оперетку, про пьяных — про всё есть, а о моём деле, проекте, о лекциях — ни гугу. ","Про пожары, про оперетку, про пьяных — про всё есть, а о моём деле, проекте, о лекциях — ни гугу.",A1,B1
"Варя увидела, как Эраст Петрович и Мизинов подняли револьверы. ",Эраст Петрович и Мизинов подняли револьверы.,C2,B1
"– Ну, что? – спросил я.",- Ну что? - спросил я.,A1,A2
"– Раз, два, три, четыре…","1, 2, 3, 4...",B1,A1
"Она промелькнула, на секунду заполнила желтый, пустой мир.","Она промелькнула, на секунду заполнила мир.",B2,C2
— Времени верь — всё пройдет!,"Время верь, всё пройдет.",B2,B1
"Степан Аркадьич читал либеральную газету того направления, которого держалось большинство. ",Степан читал либеральную газету.,B2,C2
"В конце экскурсии мистер Вонка объявляет, что эта экскурсия была проверкой на то, кто из детей достоин унаследовать фабрику.","В конце экскурсии мистер Вонка объявляет, что эта экскурсия была проверкой на то, кто из детей достоин унаследовать фабрику.",A2,A2
Я хочу купить новые занавески.,Я хочу купить новые занавески.,C2,A1
"Это всегда был самый величественный момент праздника: все продолжают сидеть неподвижно, радостно склоняя главы благодетельному игу Нумера из Нумеров.","Это всегда был самый величественный момент праздника: все продолжают сидеть неподвижно, радостно склоняя головы.",C2,A2
"В письме говорилось о загадочном событии, которое произошло в школе много лет назад, и которое никто не обсуждал открыто.","В письме говорилось о загадочном событии, которое произошло в школе много лет назад.",A2,C1
Её сердце колебалось между желанием отправить им эти послания и страхом открыть старые раны.,Её сердце колебалось между желанием отправить им эти послания и страхом открыть старые раны.,C1,A1
"Потом она исчезла в ночи, оставив Николаса в полном смятении.","Она исчезла в ночи, оставив Николаса в полном смятении.",A2,A1
В детстве у меня была мечта.,У меня была мечта в детстве.,C1,A2
"-- Действовать надо, а вот кричать совершенно не надо.","Нужно действовать, а не кричать.",A1,B1
"Когда разговор закончился, он положил трубку, но телефон сразу зазвонил опять.","Когда разговор закончился, он положил трубку, но телефон снова зазвонил.",B2,A1
"Но когда они видели, как все «летели» с ледяных гор и хохотали, очень удивлялись.","Но когда они видели, как все «летели» с ледяных гор и хохотали, очень удивлялись.",B2,A2
"Если бы человеческую глупость холили и воспитывали веками, так же, как ум, может быть, из нее получилось бы нечто необычайно драгоценное.","Если бы человеческую глупость воспитывали веками, как ум, возможно, она стала бы необычайно ценной.",B1,B1
"Известно было также, что генерал Епанчин приготовил ко дню рождения Настасьи Филипповны от себя в подарок удивительный дорогой жемчуг. ",Генерал Епанчин подарил Настасье Филипповне удивительный дорогой жемчуг на ее день рождения.,C2,B1
Ведь он друг был мне. ,Он был моим другом.,B1,A1
"Это было недовольство не на неё, а на самого себя. ",Это было недовольство.,B1,B1
"— О нет-с, собственно лишь чтобы пристыдить и посмотреть, какую он физиономию сделает, — ибо многое можно по физиономии заключить, многоуважаемый князь, и особенно в таком человеке!","— О нет-с, собственно лишь чтобы пристыдить и посмотреть, какую он физиономию сделает, — ибо многое можно по физиономии заключить.",C1,B2
"— Давайте поболтаем, — предложил я, садясь. — Вы умная и на многое не обидитесь. ","— Поговорим, — предложил я, садясь.",B1,B1
"— Как тебе сказать… Светское мнение было бы то, что он ведёт себя, как ведут себя все молодые люди","— Как тебе сказать… Светское мнение было бы то, что он ведёт себя, как все молодые люди.",A1,B1
"Кити стало жалко Анну. — Я очень рада, что увидела вас, — сказала Анна с улыбкой. — Я слышала о вас столько со всех сторон, даже от вашего мужа. ","Кити испугалась Анну. — Я очень рада, что увидела вас, — сказала Анна с улыбкой. — Я слышала о вас столько со всех сторон, даже от вашего мужа.",C1,B1
"Конверт взорван – скорее подпись – и рана – это не I, не I, это…","Конверт взорван – скорее подпись – это не I, не I, это…",A1,C1
Постановление о недоверии Правительству Российской Федерации принимается большинством голосов от общего числа депутатов Государственной Думы.,Постановление о недоверии принимается большинством голосов.,C1,B1
– Не понимаю: ты-то чего струсил?,"Я не понимаю, что ты делаешь.",C1,A1
"Раздался резкий, сухой щелчок курка, но выстрела не последовало.","Щелчок курка раздался, но выстрела не последовало.",A2,C2
Один мой сосед любит путешествовать.,Он любит путешествовать.,B2,A1
"Они засели в уголке и принялись наблюдать за тем, как отец русской демократии ест холодную телятину.","Они засели в уголке и наблюдали за отцом русской демократии, который ел холодную телятину.",B1,C2
"ждала, но товар так и не пришёл.","Ждала, но ничего не пришло.",A2,B1
"После трехкратного отклонения представленных кандидатур Председателя Правительства Российской Федерации Государственной Думой Президент Российской Федерации назначает Председателя Правительства Российской Федерации, распускает Государственную Думу и назначает новые выборы.","После трехкратного отклонения кандидатуры Председателя Правительства Российской Федерации Государственной Думой Президент Российской Федерации назначает нового Председателя Правительства, распускает Думу и назначает новые выборы.",A1,C1
Ужасно неприятно всё это. ,Неприятно всё это.,B2,C1
Мы отдыхаем в Испании.,Мы отдыхаем в Испании.,B2,A1
"Елена Станиславовна, имевшая о плашках в три восьмых дюйма такое же представление, какое имеет о сельском хозяйстве слушательница хореографических курсов имени Леонардо да Винчи, предполагающая, что творог добывается из вареников, все же посочувствовала:","Елена Станиславовна, имеющая представление о плашках в 3/8 дюйма, как о сельском хозяйстве, слушательницы хореографических курсов Леонардо да Винчи, считает, что творог производится из вареников.",A1,C2
"Темные глаза ее засверкали, на бледных щеках показались два красных пятна.","Глубокие глаза ее сверкнули, на бледных щеках появилось два красных пятна.",B1,B1
"Я – настоящий – крепко схватил за шиворот этого другого себя – дикого, лохматого, тяжело дышащего.","Я крепко схватил за шиворот этого друга - дикого, лохматого, тяжело дышащего.",B2,A2
"Я лягу на пороге, и пусть перешагнет чрез меня!..","Я лягу на порог, и пусть кто-то пройдет мимо меня.",B2,B1
Потому что быть лучшим – это очень приятно.,Потому что быть лучшим - это очень приятно.,B1,A1
Вы бы очень испугались? ,Вы бы очень испугались?,A2,B1
"Уж я и не знаю, что скажу твоему брату, булочнику.","Я и не знаю, что скажу его брату.",B1,A2
"Животные не могут чувствовать мистического испуга, если не ошибаюсь; но в эту минуту мне показалось, что в испуге Нормы было что-то как будто очень необыкновенное, как будто тоже почти мистическое, и что она, стало быть, тоже предчувствует, как и я, что в звере заключается что-то роковое и какая-то тайна.","Животные не могут чувствовать мистическое испуга, если не ошибаюсь; но в эту минуту мне показалось, что в испуге Нормы было что-то как будто очень необыкновенное, как будто тоже почти мистическое, и что она, стало быть, тоже предчувствует, как и я, что в звере заключается что-то роковое и какая-то тайна.",B1,B2
"После того как Ипполит Матвеевич, обидевшись на прозвище ""предводителя команчей"", потребовал извинения и Остап, произнося извинительную речь, назвал его фельдмаршалом, приступили к выработке диспозиции.","После того, как Ипполит Матвеевич обиделся на прозвище ""предводителя команчей"", он потребовал извинения. Остап произнес извинительную речь и назвал его фельдмаршалом.",C1,C2
Я люблю пить чай там и читать новости.,Я люблю пить чай там и читать новости.,A2,A1
"— Ишь, пьяный из кабака, выгнать тебя надо!",Выгоняют тебя из кабака.,A2,C2
"Очевидно, в планы технического руководителя не входила встреча с любимой.",Технический руководитель не планировал встречи с любимой.,B1,A1
"— Да и соваться, не спросясь броду, не следует, — заметила было Аглая.","Аглая заметила, что не следует соваться, не спросив у брода.",A1,B2
Ну конечно – с утра.,"Ну, конечно, с утра.",B1,C1
"Иногда вижу: по двое, оглядываясь, проходят на цыпочках по коридору, шепчутся…","По двое, оглядываясь, проходят на цыпочках по коридору, шепчутся.",A1,C1
Графиня Лидия Ивановна исполнила своё обещание. ,Графиня Лидия Ивановна выполнила свое обещание.,C2,B1
"— Дело в следующем анекдоте из прошедших веков, ибо я в необходимости рассказать анекдот из прошедших веков.","— Дело в следующем анекдоте из прошлого, ибо я в необходимости рассказать анекдот из прошлого.",A1,B2
"И я поверю, Чтоб Дон Гуан влюбился в первый раз, Чтоб не искал во мне он жертвы новой! ","И я поверю, чтоб Дон Гуан влюбился в первый раз, чтоб не искал во мне он жертвы новой!",C2,B1
"Можно предположить, что различные, прежде всего по функциональному назначению, БД в разной степени допускают применение предложенного принципа.","Можно предположить, что различные базы данных (БД) в разной степени допускают применение предложенного принципа.",B2,B2
"— отвечал князь дрожащим голосом, протянув к нему для чего-то свои дрожащие руки.","— Отвечал князь, дрожащим голосом, протянув к нему свои дрожащие руки.",B1,B2
"Настасья Филипповна! — вскричал он, глядя на нее как полоумный, робея и вдруг ободряясь до дерзости, — вот восемнадцать тысяч!","— Он вскричал, глядя на нее как полоумный, робея и вдруг ободряясь до дерзости, — вот восемнадцать тысяч!",A1,B2
Она много мне облегчила моё положение. ,Она много мне помогла.,C1,A2
Последний раз он кушал рано утром.,Он кушал рано утром.,A1,C2
"— Это письмо должно быть сейчас отослано, — захлопотал князь, — я передам.","Это письмо должно быть отправлено сейчас, — сказал князь, — я его передам.",B1,B2
"Она вдруг поняла, что может силой мысли двигать предметы.","Она вдруг поняла, что может силой мысли двигать предметы.",B2,A1
А на пляже было так хорошо!,На пляже было прекрасно.,C2,A1
Я подумала: надо экономить!,Экономьте!,A2,B1
— А ты знаешь его вину? ,Ты знаешь его вину?,A1,B1
"Слово ""сон"" было произнесено с французским прононсом.","Слово ""сон"" произносилось с французским акцентом.",C2,A1
После бутылки романеи в театре чувствовалось Кемблу: он очень высокий – выше всех – и легкий.,После бутылки романеи в театре чувствовалась высота Кембла.,B2,C2
Мимо всех он протянул руку ей первой; она вспыхнула от удовольствия и пожелала ему «счастливой жизни с этого самого дня».,Он протянул руку ей первой; она вспыхнула от удовлетворения и пожелала ему счастливой жизни с этого дня.,A1,B1
"Кажется, причёсана ничего себе…11 (Увидев Ирину.) ",Увидев Ирину.,C1,B2
"Тут (повторяю: я пишу, ничего не утаивая) – тут я на некоторое время стал как бы непромокаемым для живительных потоков, лившихся из громкоговорителей.","Я на некоторое время стал как бы непромокаемым для живительных потоков, лившихся из громкоговорителей.",A2,C2
"Но самое важное — Светлана поняла, что здоровье — это не само собой разумеющееся состояние, а результат ежедневных усилий и внимания к себе.","Светлана поняла, что здоровье — это не само собой разумеющееся состояние, а результат ежедневных усилий и внимания к себе.",B2,C2
"Молиться всемирному духу, высшему существу — невозможно и немыслимо. ",Молиться всему миру невозможно.,A2,B1
"Маша была рада, что не сдалась и нашла решение.","Маша была рада, что не сдалась и нашла решение.",A2,B1
"Они хотели, чтобы всё оставалось чётким и холодным, без чувств и переживаний.","Они хотели, чтобы всё оставалось спокойным и без эмоций.",B2,A1
"В общем, всё нормально. ","В общем, всё хорошо.",A1,A1
"Старшая, Мать, – смотрит; все темнее, все глубже у нее расселина между бровей.","Старшая, Мать, смотрит.",B1,B2
И это очень интересно.,Это очень интересно.,B1,A2
"Лизанька, мы не поедем: нечего было одеваться.","Лизанька, мы не поедем: нечего было одеваться.",A1,C1
"Люди в своей вере перестали чувствовать себя одиноким народом, получили представление о человечестве в целом. ","Люди в своей вере перестали чувствовать себя одинокими народами, получили представление о человечестве в целом.",C1,B1
"Стало быть, семёрка червей означала не только проигрыш тысячи шестисот рублей, но и необходимость изменения данному слову. ","Стало быть, семёрка червей означала не только проигрыш тысячи шестисот рублей, но и необходимость изменения данного слова.",B2,C2
"Милый Иван Романыч, я знаю всё. ",Я знаю всё.,A2,C1
Сейчас он служит кучером конной базы Московского коммунального хозяйства.,Он служит кучером конной базы Московского коммунального хозяйства.,A1,C2
— Никогда дней не знают.,— Никогда не знают.,A1,B2
"Я сразу обратил внимание на одну девушку, которая очень хорошо и красиво играла.","Я сразу обратил внимание на девушку, которая играла хорошо и красиво.",B1,A1
Стулья выходили из строя один за другим.,Стулья выходили из строя.,B2,C2
"Внезапно ей пришла в голову мысль: а что, если всё это - сон?","Внезапно ей пришла в голову мысль: а что, если всё это - сон?",A1,A1
"Как только он сел в машину, он задал себе вопрос: «Если бы это был мой последний день на земле, что бы я предпочёл: деловую встречу или вечер с этой женщиной?»  Он вышел из автомобиля, пересёк парковку, нашёл Лорен и спросил её, не хотела ли она с ним поужинать.","Как только он сел в машину, задался вопросом: «Если бы это был мой последний день на земле, что бы я предпочел: деловую встречу или вечер с этой женщиной?» Он вышел из автомобиля, пересек парковку, нашел Лорен и спросил ее, не хотела ли она с ним поужинать.",B2,A2
"— Вам нельзя больше пить, Ипполит, я вам не дам…","Вы больше не можете пить, Ипполит, я вам не дам.",B1,B2
"Медленно подвигались на шаг, на два – и опять останавливались.","Медленно двигались на шаг, на два – и снова останавливались.",C2,C1
Ведь это название русского ресторана.,Название русского ресторана.,C2,A1
"Сам посуди; не доверяешь ты, что ли, мне?","Сам посуди, не доверяешь ли ты мне?",C2,B2
"Обычно целью покупки дериватива является не физическое получение базового актива, а хеджирование ценового или валютного риска во времени либо получение спекулятивной прибыли от изменения цены базового актива.",Обычно целью покупки дериватива является хеджирование ценового или валютного риска во времени или получение спекулятивной прибыли от изменения цены базового актива.,C1,B2
"– У меня дома вчера опять была вечеринка, и мой русский друг предложил сделать «кровавую Мери», – это томатный сок с водкой.","У меня дома вчера была вечеринка, и мой русский друг предложил сделать «кровавую Мери», — это томатный сок с водкой.",C2,A2
-- Теперь вы дозрели и приобрели полную возможность зарабатывать деньги честным трудом.,Теперь вы можете зарабатывать деньги честным трудом.,A1,A2
"Живет она где-то в какой-то Матросской улице, в небольшом, неуклюжем домике, у Дарьи Алексеевны, а экипаж ее чуть не первый в Павловске.","Живет она где-то в Матросской улице, в небольшом, неуклюжем домике, у Дарьи Алексеевны.",A1,B2
"Они вздыхали - всё, что они могли сделать, это сидеть дома, не в силах выйти на улицу и поиграть.","Они сидели дома, не в силах выйти на улицу и поиграть.",C2,A1
Никогда больше не буду любить мышей!,Никогда больше не буду любить мышей.,C1,A1
"— и отойдёшь подальше; если ж не отойдёшь, почувствуешь скуку смертельную. ","Отойдешь подальше, если не отойдешь, почувствуешь скуку смертельную.",A2,B1
Все коты очень разные.,Все коты разные.,A2,A1
"-- Что же мы видим, товарищи?",Что же мы видим?,B1,A2
"Кстати, я никогда не могла понять, почему у русского ресторана такое странное название.","Я никогда не могла понять, почему у русского ресторана такое странное название.",C2,A2
Я искал и не находил выхода из дикой логической чащи.,Я не находил выхода из дикой логической чащи.,B2,C2
А воротник захихикал в ответ. ,Воротник улыбнулся в ответ.,B2,B1
"У Гани в глазах потемнело, и он, совсем забывшись, изо всей силы замахнулся на сестру. ","У Гани в глазах потемнело, и он, совсем забывшись, изо всех сил замахнулся на сестру.",B2,B2
Ещё будут друзья Виктора — Олег и Борис.,Ещё будут друзья Олега и Бориса.,A1,A2
"Пойдём, батюшка Ферапонт Спиридоныч. ","Пойдем, батюшка Ферапонт Спиридоныч.",C2,C2
"Решив проверить соседнюю часть острова, я нашёл небольшую пещеру.",Я проверил соседнюю часть острова и обнаружил небольшую пещеру.,C1,A1
"Холодной зимой он ходил без обуви, в лохмотьях.","Он ходил без обуви, в лохмотьях.",A2,A2
-- Так я уж напишу.,-- Так я напишу.,B2,C2
Он и сам не знал хорошо. ,Он не знал хорошо.,B1,B2
"Я решил экспериментировать, добавляя немного своего — больше пряностей, сменяя порядок шагов.","Я экспериментировал, добавляя больше пряностей и меняя порядок шагов.",A2,C1
"У него начинала мелькать одна странная идея, впрочем еще не совсем ясная.",Он начал думать о чем-то странном.,B1,A2
"""А Исак?"" -- ""Исак тут"".-- ""А дети?"" -- ""Вот все дети"".-- ""Кто же в лавке остался?!","""А Исак?"" -- ""Исак тут"".-- ""А дети?"" -- ""Вот все дети"".",A2,C2
Осуждённый на вечное заточенье узник вырвался из тюрьмы и пустился бежать... ,Узник вырвался из тюрьмы и бежал.,A1,A2
Мы ушли из ресторана.,Мы покинули ресторан.,C2,A1
"По дебаркадеру прошли музыканты, опоясанные медными трубами.",Музыканты прошли по дебаркадеру.,C1,C2
